id,user_id,workout_id,exercise_id,weight,reps,set_number,created_at
1713,1,356,1,120,5,1,2025-07-07 22:58:42+10
1714,1,356,1,110,4,1,2025-07-07 22:58:42+10
1715,1,357,1,120,3,1,2025-07-07 22:58:42+10
1716,1,357,1,140,1,1,2025-07-07 22:58:42+10
1717,1,357,1,100,5,1,2025-07-07 22:58:42+10
1718,1,358,1,120,1,1,2025-07-07 22:58:42+10
1719,1,358,1,140,3,1,2025-07-07 22:58:42+10
1720,1,358,1,145,1,1,2025-07-07 22:58:42+10
1721,1,358,1,100,0,1,2025-07-07 22:58:42+10
1722,1,359,1,120,2,1,2025-07-07 22:58:42+10
1723,1,359,1,130,5,1,2025-07-07 22:58:42+10
1724,1,359,1,130,5,1,2025-07-07 22:58:42+10
1725,1,360,1,120,3,1,2025-07-07 22:58:42+10
1726,1,360,1,145,2,1,2025-07-07 22:58:42+10
1727,1,360,1,145,2,1,2025-07-07 22:58:42+10
1728,1,360,1,120,4,1,2025-07-07 22:58:42+10
1729,1,361,1,120,1,1,2025-07-07 22:58:42+10
1730,1,361,1,140,1,1,2025-07-07 22:58:42+10
1731,1,361,1,150,1,1,2025-07-07 22:58:42+10
1732,1,362,1,120,1,1,2025-07-07 22:58:42+10
1733,1,362,1,142,5,1,2025-07-07 22:58:42+10
1734,1,362,1,100,5,1,2025-07-07 22:58:42+10
1735,1,363,1,120,2,1,2025-07-07 22:58:42+10
1736,1,363,1,152,1,1,2025-07-07 22:58:42+10
1737,1,364,1,120,5,1,2025-07-07 22:58:42+10
1738,1,364,1,130,1,1,2025-07-07 22:58:42+10
1739,1,364,1,130,4,1,2025-07-07 22:58:42+10
1740,1,364,1,140,2,1,2025-07-07 22:58:42+10
1741,1,365,1,120,2,1,2025-07-07 22:58:42+10
1742,1,365,1,140,3,1,2025-07-07 22:58:42+10
1743,1,365,1,120,3,1,2025-07-07 22:58:42+10
1744,1,366,1,120,1,1,2025-07-07 22:58:42+10
1745,1,367,1,130,2,1,2025-07-07 22:58:42+10
1746,1,367,1,145,2,1,2025-07-07 22:58:42+10
1747,1,367,1,130,2,1,2025-07-07 22:58:42+10
1748,1,367,1,130,5,1,2025-07-07 22:58:42+10
1749,1,368,1,130,6,1,2025-07-07 22:58:42+10
1750,1,368,1,132,5,1,2025-07-07 22:58:42+10
1751,1,369,1,120,3,1,2025-07-07 22:58:42+10
1752,1,369,1,137.5,3,1,2025-07-07 22:58:42+10
1753,1,370,1,130,1,1,2025-07-07 22:58:42+10
1754,1,370,1,142,1,1,2025-07-07 22:58:42+10
1755,1,370,1,152,2,1,2025-07-07 22:58:42+10
1756,1,371,1,132,6,1,2025-07-07 22:58:42+10
1757,1,582,1,142,4,1,2025-07-07 22:58:42+10
1758,1,582,1,100,8,1,2025-07-07 22:58:42+10
1759,1,373,1,140,3,1,2025-07-07 22:58:42+10
1760,1,373,1,140,1,1,2025-07-07 22:58:42+10
1761,1,374,1,100,5,1,2025-07-07 22:58:42+10
1762,1,374,1,120,2,1,2025-07-07 22:58:42+10
1763,1,374,1,130,5,1,2025-07-07 22:58:42+10
1764,1,374,1,130,5,1,2025-07-07 22:58:42+10
1765,1,375,1,140,5,1,2025-07-07 22:58:42+10
1766,1,375,1,135,2,1,2025-07-07 22:58:42+10
1767,1,375,1,120,2,1,2025-07-07 22:58:42+10
1768,1,376,1,120,3,1,2025-07-07 22:58:42+10
1769,1,376,1,130,3,1,2025-07-07 22:58:42+10
1770,1,376,1,130,3,1,2025-07-07 22:58:42+10
1771,1,377,1,120,3,1,2025-07-07 22:58:42+10
1772,1,377,1,130,5,1,2025-07-07 22:58:42+10
1773,1,377,1,130,5,1,2025-07-07 22:58:42+10
1774,1,378,1,120,3,1,2025-07-07 22:58:42+10
1775,1,378,1,130,3,1,2025-07-07 22:58:42+10
1776,1,378,1,142,2,1,2025-07-07 22:58:42+10
1777,1,378,1,3,120,1,2025-07-07 22:58:42+10
1778,1,379,1,152,1,1,2025-07-07 22:58:42+10
1779,1,380,1,135,6,1,2025-07-07 22:58:42+10
1780,1,380,1,110,5,1,2025-07-07 22:58:42+10
1781,1,380,1,110,5,1,2025-07-07 22:58:42+10
1782,1,380,1,110,5,1,2025-07-07 22:58:42+10
