id,workout_id,exercise_id,weight,reps,set_number,created_at,user_id
2014,479,1,120.0,3,1,"2025-07-07 22:58:42",1
2015,479,1,135.0,1,1,"2025-07-07 22:58:42",1
2016,479,1,147.0,3,1,"2025-07-07 22:58:42",1
2017,480,1,130.0,1,1,"2025-07-07 22:58:42",1
2018,480,1,140.0,1,1,"2025-07-07 22:58:42",1
2019,480,1,152.5,2,1,"2025-07-07 22:58:42",1
2020,481,1,142.0,3,1,"2025-07-07 22:58:42",1
2021,482,1,100.0,3,1,"2025-07-07 22:58:42",1
2022,482,1,150.0,1,1,"2025-07-07 22:58:42",1
2023,482,1,160.0,1,1,"2025-07-07 22:58:42",1
2024,483,1,130.0,2,1,"2025-07-07 22:58:42",1
2025,483,1,142.0,5,1,"2025-07-07 22:58:42",1
2026,484,1,140.0,1,1,"2025-07-07 22:58:42",1
2027,484,1,147.0,3,1,"2025-07-07 22:58:42",1
2028,485,1,140.0,1,1,"2025-07-07 22:58:42",1
2029,485,1,150.0,1,1,"2025-07-07 22:58:42",1
2030,486,1,120.0,3,1,"2025-07-07 22:58:42",1
2031,486,1,120.0,3,1,"2025-07-07 22:58:42",1
2032,487,1,140.0,3,1,"2025-07-07 22:58:42",1
2033,488,1,140.0,1,1,"2025-07-07 22:58:42",1
2034,488,1,142.5,4,1,"2025-07-07 22:58:42",1
2035,489,1,140.0,1,1,"2025-07-07 22:58:42",1
2036,489,1,145.0,3,1,"2025-07-07 22:58:42",1
2037,490,1,120.0,5,1,"2025-07-07 22:58:42",1
2038,490,1,142.5,4,1,"2025-07-07 22:58:42",1
2039,491,1,120.0,3,1,"2025-07-07 22:58:42",1
2040,491,1,147.5,3,1,"2025-07-07 22:58:42",1
2041,492,1,120.0,1,1,"2025-07-07 22:58:42",1
2042,492,1,140.0,1,1,"2025-07-07 22:58:42",1
2043,492,1,155.0,1,1,"2025-07-07 22:58:42",1
2044,493,1,140.0,3,1,"2025-07-07 22:58:42",1
2045,493,1,110.0,5,1,"2025-07-07 22:58:42",1
2046,493,1,110.0,5,1,"2025-07-07 22:58:42",1
2047,494,1,130.0,5,1,"2025-07-07 22:58:42",1
2048,494,1,130.0,5,1,"2025-07-07 22:58:42",1
2049,495,1,140.0,1,1,"2025-07-07 22:58:42",1
2050,495,1,145.0,3,1,"2025-07-07 22:58:42",1
2051,496,1,140.0,1,1,"2025-07-07 22:58:42",1
2052,496,1,150.0,1,1,"2025-07-07 22:58:42",1
2053,497,1,140.0,5,1,"2025-07-07 22:58:42",1
2054,498,1,130.0,3,1,"2025-07-07 22:58:42",1
2055,498,1,142.5,3,1,"2025-07-07 22:58:42",1
2056,499,1,140.0,1,1,"2025-07-07 22:58:42",1
2057,499,1,150.0,1,1,"2025-07-07 22:58:42",1
2058,499,1,160.0,1,1,"2025-07-07 22:58:42",1
2059,500,1,120.0,5,1,"2025-07-07 22:58:42",1
2060,500,1,120.0,4,1,"2025-07-07 22:58:42",1
2061,501,1,145.0,3,1,"2025-07-07 22:58:42",1
2062,501,1,120.0,4,1,"2025-07-07 22:58:42",1
2063,501,1,120.0,4,1,"2025-07-07 22:58:42",1
2064,502,1,120.0,3,1,"2025-07-07 22:58:42",1
2065,502,1,120.0,3,1,"2025-07-07 22:58:42",1
2066,503,1,147.5,3,1,"2025-07-07 22:58:42",1
2068,505,1,120.0,5,1,"2025-07-07 22:58:42",1
2069,505,1,120.0,3,1,"2025-07-07 22:58:42",1
2070,506,1,140.0,1,1,"2025-07-07 22:58:42",1
2071,506,1,145.0,3,1,"2025-07-07 22:58:42",1
2072,507,1,120.0,1,1,"2025-07-07 22:58:42",1
2073,507,1,140.0,1,1,"2025-07-07 22:58:42",1
2074,507,1,152.5,1,1,"2025-07-07 22:58:42",1
2075,508,1,100.0,4,1,"2025-07-07 22:58:42",1
2076,508,1,100.0,4,1,"2025-07-07 22:58:42",1
2077,508,1,100.0,6,1,"2025-07-07 22:58:42",1
2078,4,1,125.0,5,1,"2025-07-07 22:58:42",1
2079,4,1,125.0,5,1,"2025-07-07 22:58:42",1
2080,4,1,120.0,5,1,"2025-07-07 22:58:42",1
2081,510,1,125.0,6,1,"2025-07-07 22:58:42",1
2082,510,1,125.0,6,1,"2025-07-07 22:58:42",1
2083,510,1,120.0,6,1,"2025-07-07 22:58:42",1
2084,14,1,2.5,5,1,"2025-07-07 22:58:42",1
2085,14,1,125.0,5,1,"2025-07-07 22:58:42",1
2086,14,1,125.0,5,1,"2025-07-07 22:58:42",1
2087,14,1,125.0,3,1,"2025-07-07 22:58:42",1
2088,512,1,2.5,3,1,"2025-07-07 22:58:42",1
2089,512,1,125.0,5,1,"2025-07-07 22:58:42",1
2090,512,1,125.0,5,1,"2025-07-07 22:58:42",1
2091,512,1,125.0,6,1,"2025-07-07 22:58:42",1
2092,23,1,5.0,5,1,"2025-07-07 22:58:42",1
2093,23,1,125.0,5,1,"2025-07-07 22:58:42",1
